ProductID, ProductName, ProductCategory, SubCategory, Brand, PackageSize, Price, HistoricalSalesData, SeasonalVariations, ProductAttributes, SupplierInformation, ShelfLife, ProductStatus, ProductImage, PromotionalHistory
P001,Coca-Cola Classic,Beverages,Soft Drinks,Coca-Cola,500ml,1.99,"[100, 120, 150, 130, 140]","Summer:High, Winter:Low","Carbonated, Caffeinated",The Coca-Cola Company,365 days,Active,https://example.com/cocacola.jpg,Discounts applied during summer months
P002,Lay's Classic Potato Chips,Snacks,Chips,Lay's,200g,2.49,"[80, 90, 100, 110, 120]",No significant variations,"Potatoes, Salt",PepsiCo,180 days,Active,https://example.com/lays.jpg,Frequent promotions
P003,Dove Moisturizing Body Wash,Personal Care,Body Wash,Dove,400ml,4.99,"[50, 60, 70, 80, 90]",Stable sales throughout the year,"Glycerin, Water, Sodium Laureth Sulfate",Unilever,24 months,Active,https://example.com/dove.jpg,Seasonal discounts available
P004,Campbell's Chicken Noodle Soup,Grocery,Canned Goods,Campbell's,400g,1.79,"[70, 80, 90, 100, 110]",Higher sales in winter,"Chicken, Noodles, Broth",Campbell Soup Company,24 months,Active,https://example.com/campbells.jpg,Promoted during flu season
P005,Colgate Total Toothpaste,Personal Care,Oral Care,Colgate,150g,2.99,"[120, 130, 140, 150, 160]",Steady sales,"Fluoride, Triclosan, Glycerin",Colgate-Palmolive,36 months,Active,https://example.com/colgate.jpg,Occasional discounts
P006,Tide Original Laundry Detergent,Household,Laundry,Tide,1.5L,9.99,"[90, 100, 110, 120, 130]",No significant variations,"Surfactants, Enzymes, Fragrance",Procter & Gamble,24 months,Active,https://example.com/tide.jpg,Regular promotions
P007,Kellogg's Frosted Flakes Cereal,Grocery,Cereal,Kellogg's,500g,3.49,"[80, 90, 100, 110, 120]",Steady sales,"Corn, Sugar, Salt",Kellogg Company,12 months,Active,https://example.com/kelloggs.jpg,Promotions during back-to-school season
P008,Pampers Swaddlers Diapers,Baby Care,Diapers,Pampers,Newborn (Pack of 36),29.99,"[50, 60, 70, 80, 90]",No significant variations,"Cotton, Absorbent Gel Material",Procter & Gamble,36 months,Active,https://example.com/pampers.jpg,Frequent discounts for bulk purchases
P009,Ferrero Rocher Hazelnut Chocolates,Snacks,Chocolates,Ferrero,200g,4.99,"[60, 70, 80, 90, 100]",Higher sales during holidays,"Chocolate, Hazelnuts",Ferrero SpA,12 months,Active,https://example.com/ferrerorocher.jpg,Limited-time promotions during festive seasons
P010,Pepsi Zero Sugar,Beverages,Soft Drinks,Pepsi,355ml,1.49,"[90, 100, 110, 120, 130]",No significant variations,"Carbonated, Caffeine-Free",PepsiCo,180 days,Active,https://example.com/pepsi.jpg,Occasional discounts
